Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
TC133,Success,5,0,2024-03-15 09:19:48 +0100,2024-04-10 16:19:21 +0200,0:00:08
main,Success,1,0,2024-03-15 09:19:23 +0100,2024-03-15 09:19:23 +0100,0:00:10
mytable,Success,1,0,2024-03-27 10:04:27 +0100,2024-03-27 10:04:27 +0100,0:00:00
myfeature-Feature,Success,1,0,2024-03-27 10:19:11 +0100,2024-03-27 10:19:11 +0100,0:00:04
TC135,Success,2,1,2024-04-10 16:31:09 +0200,2024-04-10 16:33:26 +0200,0:00:06
testcase134,Success,8,4,2024-03-15 09:21:04 +0100,2024-04-10 16:25:43 +0200,0:00:05
select_page,Success,1,0,2024-04-10 16:33:26 +0200,2024-04-10 16:33:26 +0200,0:00:00
